,Name,Latitude,Longitude,Current Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
29,Albany,42.6001,-73.9662,32.4,35.06,66,33,11.99,US,1710170518
30,Avarua,-21.2078,-159.775,75.25,75.25,94,75,5.75,CK,1710170688
31,Adamstown,-25.066,-130.1015,71.08,71.08,91,100,6.67,PN,1710170688
32,Edinburgh of the Seven Seas,-37.0676,-12.3116,60.51,60.51,61,46,9.04,SH,1710170688
33,Lebu,-37.6167,-73.65,62.38,62.38,70,0,10.49,CL,1710170689
34,Bredasdorp,-34.5322,20.0403,75.96,75.96,64,0,13.56,ZA,1710170689
35,Crane,31.3974,-102.3501,52.56,52.56,55,0,10.29,US,1710170689
36,Charthāwal,29.55,77.5833,68.85,68.85,30,0,7.34,IN,1710170690
37,Lüderitz,-26.6481,15.1594,74.84,74.84,62,7,11.72,NA,1710170690
38,Valparaíso,-33.0393,-71.6273,67.05,73.15,66,20,8.05,CL,1710170503
39,Sokoni,-6.4333,39.55,85.42,85.42,65,8,11.74,TZ,1710170691
40,Vershino-Darasunskiy,52.35,115.5167,14.56,14.56,92,97,4.41,RU,1710170691
41,Chonchi,-42.6128,-73.8092,59.13,59.13,98,100,5.86,CL,1710170691
42,Kailua-Kona,19.6406,-155.9956,71.11,73.36,79,0,6.91,US,1710170691
43,Bull Savanna,17.8868,-77.5902,81.77,81.77,57,0,3.44,JM,1710170691
44,Ta`ū,-14.2336,-169.5144,82.24,82.24,81,99,6.24,AS,1710170691
45,Haiku-Pauwela,20.9219,-156.3051,65.97,69.04,84,75,14.0,US,1710170752
46,Zeya,53.75,127.2667,-0.51,-0.51,95,18,3.89,RU,1710170752
47,Belmonte,-15.8631,-38.8828,86.43,86.43,68,59,10.89,BR,1710170752
48,Susuman,62.7833,148.1667,-21.73,-21.73,100,89,2.73,RU,1710170752
49,Whitehorse,60.7161,-135.0538,20.17,20.17,86,75,8.05,CA,1710170752
50,Fada N'gourma,12.0622,0.3578,107.42,107.42,9,100,9.08,BF,1710170752
51,Saint Paul Harbor,57.79,-152.4072,22.51,22.51,74,75,9.22,US,1710170461
52,Saipan,15.1355,145.701,77.7,77.7,88,75,20.71,MP,1710170753
53,Waitangi,-43.9535,-176.5597,51.82,53.82,78,94,1.01,NZ,1710170753
54,Sitka,57.0531,-135.33,37.29,37.29,70,75,10.36,US,1710170753
55,Ambalangoda,6.2355,80.0538,80.8,80.8,72,20,4.25,LK,1710170753
56,Aasiaat,68.7098,-52.8699,0.68,0.68,93,98,1.92,GL,1710170754
57,Sauðarkrokur,65.7461,-19.6394,30.76,30.76,81,3,2.37,IS,1710170754
58,Northam,51.0333,-4.2167,51.87,53.65,84,100,9.95,GB,1710170754
59,Krasnyy Yar,46.5331,48.3456,29.97,30.13,41,15,15.5,RU,1710170754
60,Ushuaia,-54.8,-68.3,47.86,47.86,66,40,21.85,AR,1710170754
61,Ouro Preto do Oeste,-10.7481,-62.2158,87.93,87.93,69,91,2.66,BR,1710170697
62,Nikel,69.4128,30.222,35.78,35.78,85,99,8.59,RU,1710170755
63,Puerto Ayora,-0.7393,-90.3518,79.56,84.16,92,73,3.11,EC,1710170755
64,Fort Bragg,35.139,-79.006,49.8,51.91,30,2,8.99,US,1710170755
65,Dudinka,69.4058,86.1778,-12.32,-12.32,99,99,5.01,RU,1710170755
66,Cabo San Lucas,22.8909,-109.9124,68.27,70.52,62,40,4.0,MX,1710170272
67,George Town,5.4112,100.3354,82.45,84.13,68,20,3.44,MY,1710170756
68,Mount Gambier,-37.8333,140.7667,63.28,63.28,79,21,4.76,AU,1710170756
69,Kirovsk,48.6375,38.6428,32.5,32.5,40,1,5.19,UA,1710170756
70,Codrington,-38.2667,141.9667,64.36,64.36,82,15,3.33,AU,1710170756
71,Jaciara,-15.9653,-54.9683,92.07,92.07,50,67,3.13,BR,1710170756
72,Papatowai,-46.5619,169.4708,47.21,47.21,79,93,2.57,NZ,1710170756
73,Aitape,-3.1374,142.3475,78.67,78.67,91,100,6.91,PG,1710170757
74,Keflavik,64.0049,-22.5624,39.63,40.91,60,20,9.22,IS,1710170757
75,Grytviken,-54.2811,-36.5092,48.33,48.33,78,96,11.68,GS,1710170757
76,Talara,-4.5772,-81.2719,83.16,83.16,61,40,19.57,PE,1710170757
77,Zhympīty,50.2536,52.595,22.37,22.37,92,98,12.82,KZ,1710170757
78,Puerto Deseado,-47.7503,-65.8938,59.02,59.02,34,4,13.44,AR,1710170757
79,Gmina Lwówek Śląski,51.1107,15.5858,57.81,59.77,52,100,4.92,PL,1710170758
80,Hualien City,23.9769,121.6044,67.87,67.87,95,100,6.98,TW,1710170758
81,Newman,37.3138,-121.0208,49.91,51.04,87,81,2.19,US,1710170758
82,Tura,25.5198,90.2201,68.11,68.11,35,0,2.73,IN,1710170758
83,Minas de Marcona,-15.2119,-75.1103,70.23,70.23,71,43,13.38,PE,1710170758
84,Utrik,11.2278,169.8474,80.19,80.19,78,99,21.99,MH,1710170758
85,Katsuura,35.1333,140.3,54.77,54.77,63,100,20.47,JP,1710170759
86,Yoichi,43.2039,140.7703,37.62,37.62,85,99,5.46,JP,1710170759
87,Myanaung,18.2833,95.3167,78.96,78.96,26,5,6.17,MM,1710170759
88,Ilulissat,69.2167,-51.1,12.22,12.22,85,40,9.22,GL,1710170759
89,Padang,-0.9492,100.3543,80.65,80.65,87,89,3.15,ID,1710170759
90,Atafu Village,-8.5421,-172.5159,85.01,85.01,78,67,14.18,TK,1710170759
91,Callao,-12.0667,-77.15,77.29,77.29,73,0,6.91,PE,1710170615
92,Santa Pola,38.1917,-0.5658,68.25,69.49,32,20,26.46,ES,1710170760
93,Punta Arenas,-53.15,-70.9167,50.11,50.11,53,20,20.71,CL,1710170760
94,Nadi,-17.8,177.4167,77.0,77.0,94,100,5.75,FJ,1710170760
95,Seaford,50.7714,0.1027,46.99,48.33,93,100,11.01,GB,1710170820
96,At Tāj,24.2049,23.2857,86.0,86.0,9,7,10.31,LY,1710170821
97,Tôlanaro,-25.0319,46.9987,82.47,82.47,78,20,21.85,MG,1710170821
98,Wailua Homesteads,22.0669,-159.378,64.92,68.43,92,100,9.22,US,1710170821
99,Letlhakeng,-24.0944,25.0298,93.31,93.31,24,83,3.98,BW,1710170821
100,Hamilton,39.1834,-84.5333,44.65,46.72,48,0,9.22,US,1710170685
101,Port Elizabeth,-33.918,25.5701,75.9,80.1,90,75,17.27,ZA,1710170821
102,Kristiansund,63.1115,7.732,41.65,41.65,45,0,5.75,NO,1710170822
103,Jeddah,21.5169,39.2192,85.86,85.86,51,0,8.05,SA,1710170672
104,Pontes e Lacerda,-15.2261,-59.3353,92.88,92.88,53,74,3.04,BR,1710170822
105,Ivins,37.1686,-113.6794,48.13,53.13,47,52,1.99,US,1710170822
106,Fīrūzābād,28.8438,52.5707,55.65,55.65,50,63,10.49,IR,1710170822
107,Isafjordur,66.0755,-23.124,39.24,39.24,70,75,23.02,IS,1710170823
108,Jincheng,35.5022,112.8328,48.04,48.04,25,0,8.63,CN,1710170823
109,Jamestown,42.097,-79.2353,34.27,35.19,72,100,21.85,US,1710170634
110,Curup,-3.4667,102.5333,68.63,68.63,98,54,1.1,ID,1710170823
111,Kiunga,-6.1219,141.2906,75.18,75.18,99,100,2.89,PG,1710170823
112,Papao,-17.75,-149.55,78.48,78.48,83,80,9.55,PF,1710170824
113,Port Douglas,-16.4833,145.4667,77.29,77.29,85,68,8.77,AU,1710170824
114,West Plains,36.7281,-91.8524,54.12,55.27,53,0,7.0,US,1710170824
115,Zaraza,9.3503,-65.3245,93.34,93.34,35,32,8.68,VE,1710170824
116,Baní,18.2833,-70.3333,84.51,84.85,60,4,7.54,DO,1710170825
117,Ayoun El Atrous,16.6614,-9.6149,98.26,98.26,11,93,7.63,MR,1710170825
118,Lisala,2.15,21.5167,78.91,78.91,71,100,3.15,CD,1710170825
119,Isla Vista,34.4133,-119.861,52.3,55.83,75,20,3.0,US,1710170825
120,Praia da Vitória,38.7333,-27.0667,62.85,62.85,94,75,29.3,PT,1710170825
121,Klyuchi,52.2667,79.1667,21.69,21.69,93,15,6.93,RU,1710170826
122,Tonota,-21.4833,27.4833,90.61,90.61,20,0,14.99,BW,1710170826
123,Pokhara,28.2333,83.9833,64.06,64.06,40,22,5.57,NP,1710170826
124,Babīna,25.25,78.4667,80.78,80.78,24,0,3.78,IN,1710170826
125,Badger,64.8,-147.5333,-0.53,-0.53,55,100,8.05,US,1710170826
126,Lorengau,-2.0226,147.2712,82.44,82.44,82,100,14.18,PG,1710170827
127,San Antonio de Palé,-1.4014,5.6325,84.7,84.7,69,52,3.58,GQ,1710170827
128,Page,36.9147,-111.4558,51.12,51.12,33,94,3.0,US,1710170798
129,Taoudenni,22.6783,-3.9836,90.48,90.48,11,30,6.38,ML,1710170827
130,Armação de Búzios,-22.7469,-41.8817,84.33,89.65,76,29,18.9,BR,1710170827
131,Guerrero Negro,27.9769,-114.0611,59.23,59.23,72,81,10.78,MX,1710170827
132,Novoshakhtinskiy,44.025,132.1514,24.3,24.3,86,35,5.06,RU,1710170828
133,East London,-33.0153,27.9116,79.74,79.74,94,100,14.97,ZA,1710170828
134,Palikir,6.9248,158.1611,81.34,81.34,74,100,10.36,FM,1710170828
135,Porto Velho,-8.7619,-63.9039,87.85,87.85,66,40,2.3,BR,1710170828
136,Port Nelson,23.6333,-74.8333,75.54,75.54,78,50,19.98,BS,1710170828
137,Bodø,67.28,14.405,39.24,39.24,60,0,2.3,NO,1710170829
138,San Patricio,28.017,-97.5169,66.74,70.86,65,78,7.81,US,1710170829
139,Jinghong,21.991,100.7341,71.78,71.78,35,3,2.95,CN,1710170829
140,Tofol,5.3248,163.0078,82.29,82.29,81,100,24.4,FM,1710170829
141,Howrah,22.5892,88.3103,80.6,80.6,57,0,6.91,IN,1710170829
142,Severo-Yeniseyskiy,60.3725,93.0408,8.56,8.56,98,100,3.47,RU,1710170830
143,Alofi,-19.0595,-169.9187,78.69,78.69,94,20,3.44,NU,1710170890
144,São João da Barra,-21.6403,-41.0511,89.69,89.69,69,54,15.03,BR,1710170890
145,Ghat,24.9647,10.1728,90.88,90.88,4,0,9.69,LY,1710170890
146,Stanley,54.868,-1.6985,40.57,42.39,94,75,3.44,GB,1710170890
147,Kandukūr,15.2167,79.9167,79.81,79.81,76,6,11.77,IN,1710170891
148,Ust-Nera,64.5667,143.2,-18.67,-18.67,100,94,1.81,RU,1710170891
149,Camabatela,-8.1881,15.375,79.41,79.41,64,55,5.32,AO,1710170891
150,Loudon,35.7328,-84.3338,46.36,48.42,45,2,1.99,US,1710170891
151,Touros,-5.1989,-35.4608,88.34,88.34,61,94,5.21,BR,1710170891
152,Hobyo,5.3505,48.5268,83.61,83.61,75,64,13.18,SO,1710170892
153,Sisa,-6.6167,-76.6915,82.92,82.92,66,92,2.59,PE,1710170892
154,Margaret River,-33.95,115.0667,64.44,64.44,65,0,13.67,AU,1710170892
155,Ribeira Grande,38.5167,-28.7,63.0,63.0,82,75,23.02,PT,1710170892
156,Kochenëvo,55.0218,82.202,25.99,25.99,91,86,12.8,RU,1710170892
157,Riacho de Santana,-13.6092,-42.9389,90.46,90.46,42,87,5.08,BR,1710170893
158,Kingston,17.997,-76.7936,86.02,88.16,67,20,2.3,JM,1710170626
159,Taksimo,56.3444,114.8794,12.96,12.96,91,100,1.9,RU,1710170893
160,Muynak,43.7683,59.0214,43.43,43.43,72,100,4.94,UZ,1710170893
161,Tefé,-3.3542,-64.7114,89.71,89.71,66,0,3.44,BR,1710170894
162,Olonkinbyen,70.9221,-8.7187,31.93,31.93,88,77,7.45,SJ,1710170894
163,Polyarny,69.1989,33.4478,28.13,28.13,89,100,7.45,RU,1710170894
164,Tateyama,34.9833,139.8667,55.49,55.49,60,100,22.55,JP,1710170894
165,Distrikt Brokopondo,4.75,-55.1667,84.49,84.49,60,100,2.35,SR,1710170894
166,Glace Bay,46.1969,-59.957,36.75,39.27,97,100,17.27,CA,1710170895
167,Quellón,-43.1167,-73.6167,54.39,54.39,97,100,14.34,CL,1710170895
168,Celestún,20.8667,-90.4,74.34,74.34,87,100,10.31,MX,1710170895
169,Mālvan,16.0667,73.4667,79.18,79.18,71,3,13.65,IN,1710170895
170,Tarko-Sale,64.9225,77.785,-4.45,-4.45,99,100,4.45,RU,1710170895
171,Al Jawf,29.5,38.75,65.43,65.43,19,0,9.73,SA,1710170896
172,Barra de Santo Antônio,-9.4047,-35.5072,92.48,92.48,61,98,9.42,BR,1710170896
173,Ujae,8.9322,165.7642,80.87,80.87,77,46,21.56,MH,1710170896
174,Nemuro,43.3236,145.575,31.75,31.75,83,96,7.72,JP,1710170896
175,Nsunga,-1.1439,31.3947,79.92,79.92,58,30,6.8,TZ,1710170896
176,Tara,56.8944,74.371,14.25,14.25,96,96,5.46,RU,1710170896
177,Arraial do Cabo,-22.9661,-42.0278,84.06,84.16,74,20,14.97,BR,1710170897
178,Boda,4.3189,17.4695,99.19,99.19,23,100,7.36,CF,1710170897
179,Gornozavodsk,58.3758,58.3211,-1.17,-1.17,100,99,1.21,RU,1710170897
180,Francistown,-21.17,27.5079,90.37,90.37,22,0,17.56,BW,1710170897
181,Harsūd,22.1,76.7333,86.58,86.58,24,0,7.02,IN,1710170897
182,Arawa,-6.2132,155.5367,79.21,79.21,94,100,5.75,PG,1710170898
183,Takayama,36.1333,137.25,32.61,32.61,83,100,2.82,JP,1710170898
184,Vorgashor,67.5833,63.95,-18.53,-18.53,100,95,5.08,RU,1710170898
185,Tsiombe,-25.3,45.4833,80.24,80.24,79,65,10.11,MG,1710170898
186,Suntar,62.1444,117.6319,21.94,21.94,96,100,8.72,RU,1710170898
187,Phu Kradueng,16.8843,101.8847,82.54,82.54,57,44,3.36,TH,1710170899
188,Choyr,46.3611,108.3611,5.54,5.54,92,22,3.91,MN,1710170899
189,Dykan'ka,49.825,34.5279,34.32,34.32,41,0,5.26,UA,1710170899
190,La Ronge,55.1001,-105.2842,25.05,25.05,74,75,1.14,CA,1710170899
191,Invercargill,-46.4,168.35,50.02,50.02,86,90,3.0,NZ,1710170960
192,Anapa,44.8908,37.3239,42.37,43.14,60,40,8.95,RU,1710170754
193,Tabas,33.5959,56.9244,70.18,70.18,15,100,6.31,IR,1710170960
194,Hilo,19.7297,-155.09,66.49,73.27,94,20,4.61,US,1710170718
195,Montrose,38.4166,-108.2673,29.12,35.73,40,100,3.53,US,1710170960
196,Kingscliff,-28.2667,153.5667,71.96,74.73,68,71,8.05,AU,1710170960
197,Martapura,-3.4167,114.85,80.69,80.69,94,20,4.61,ID,1710170961
198,Naryan-Mar,67.6713,53.087,-4.9,-4.9,98,15,5.99,RU,1710170961
199,Yanchep,-31.55,115.6833,74.48,75.33,48,6,10.13,AU,1710170961
200,Gölmarmara,38.7139,27.9142,65.21,65.21,47,52,4.43,TR,1710170961
201,Hithadhoo,-0.6,73.0833,83.34,83.34,70,20,8.25,MV,1710170961
202,Uturoa,-16.7333,-151.4333,82.42,82.42,78,99,7.49,PF,1710170962
203,Veinticinco de Mayo,-35.4323,-60.1727,77.99,77.99,83,100,3.0,AR,1710170962
204,West Island,-12.1568,96.8225,80.58,80.58,83,75,12.66,CC,1710170962
205,Nyurba,63.2842,118.3319,16.39,16.39,95,100,6.87,RU,1710170962
206,St. John's,47.5649,-52.7093,32.59,34.16,96,100,19.57,CA,1710170695
207,Salida,37.7058,-121.0849,50.22,53.15,88,84,2.13,US,1710170962
208,Kargasok,59.0556,80.8572,10.96,10.96,94,100,5.99,RU,1710170963
209,Lihue,21.9789,-159.3672,65.08,69.04,93,100,9.22,US,1710170963
210,Popondetta,-8.7537,148.2534,75.63,75.63,98,100,1.81,PG,1710170963
211,Agboville,5.928,-4.2132,95.25,95.25,49,100,7.14,CI,1710170963
212,Cologne,50.9333,6.95,48.07,50.74,89,100,5.75,DE,1710170753
213,Puerto Baquerizo Moreno,-0.9,-89.6,77.99,77.99,100,100,0.0,EC,1710170964
214,Kabarnet,0.4919,35.743,77.7,77.7,25,44,15.39,KE,1710170964
215,Ambrizette,-7.2312,12.8666,84.09,84.09,82,90,8.77,AO,1710170964
216,Carnarvon,-24.8667,113.6333,77.4,77.4,77,2,22.79,AU,1710170964
217,Pisco,-13.7,-76.2167,77.05,77.05,73,22,5.75,PE,1710170965
218,Kirensk,57.7853,108.1119,30.96,30.96,91,100,13.0,RU,1710170965
219,Chadron,42.8294,-102.9999,38.88,38.88,60,0,0.0,US,1710170965
220,Bethel,41.3712,-73.414,38.77,41.58,58,100,11.5,US,1710170965
221,Bodaybo,57.8506,114.1933,26.91,26.91,96,100,6.08,RU,1710170965
222,Kannus,63.9,23.9,28.51,29.86,89,70,5.5,FI,1710170966
223,Okha,53.5739,142.9478,-6.65,-6.65,100,95,6.17,RU,1710170966
224,Dampit,-8.2116,112.7493,71.2,71.2,90,100,3.33,ID,1710170966
225,Qaqortoq,60.7167,-46.0333,27.43,27.43,85,5,3.91,GL,1710170966
226,Isangel,-19.55,169.2667,78.91,78.91,94,75,0.0,VU,1710170966
227,Laguna,38.421,-121.4238,50.7,53.69,87,0,0.0,US,1710170704
228,Nianzishan,47.5167,122.8833,24.48,24.48,64,16,6.24,CN,1710170967
229,Belyy Yar,53.6039,91.3903,31.89,31.89,69,0,8.95,RU,1710170967
230,Payakumbuh,-0.2202,100.6308,72.43,72.43,98,100,0.18,ID,1710170968
231,Garoowe,8.4054,48.4845,89.29,89.29,26,0,21.07,SO,1710170968
232,Gotse Delchev,41.5667,23.7333,55.47,55.47,67,97,8.68,BG,1710170968
233,Benghazi,32.1167,20.0667,74.3,74.3,36,13,20.07,LY,1710170968
234,Taroa,8.7058,171.2275,80.94,80.94,85,100,22.91,MH,1710170969
235,Nova Sintra,14.8667,-24.7167,67.5,67.5,74,58,16.71,CV,1710170969
236,Vanimo,-2.6741,141.3028,78.35,78.35,91,100,8.3,PG,1710170969
237,Chamdo,31.1667,97.2333,29.88,29.88,34,85,6.53,CN,1710170969
238,Talas,38.6908,35.5538,50.67,50.67,40,0,6.91,TR,1710170969
239,Hinton,53.4001,-117.5857,18.9,18.9,91,50,5.66,CA,1710170970
240,Auki,-8.7676,160.7034,79.03,79.03,90,100,3.56,SB,1710171030
241,Humaitá,-7.5061,-63.0208,96.21,96.21,47,78,2.64,BR,1710171030
242,Puerto Armuelles,8.2833,-82.8667,85.08,93.18,65,8,1.01,PA,1710170976
243,Alice Springs,-23.7,133.8833,78.35,78.35,44,75,5.75,AU,1710170781
244,Igarka,67.4667,86.5833,-17.73,-17.73,100,95,2.89,RU,1710171031
245,Bella Vista,36.4295,-94.2316,54.5,57.15,49,0,10.36,US,1710171032
246,Horta,38.5333,-28.6333,61.02,62.24,89,75,23.02,PT,1710171032
247,Chifeng,42.2683,118.9636,26.91,26.91,45,0,4.27,CN,1710171033
248,Schönebeck,52.0167,11.75,56.79,57.13,57,77,10.29,DE,1710171033
249,Mananjary,-21.2167,48.3333,78.37,78.37,85,94,4.16,MG,1710171034
250,Berezovyy,51.6667,135.7,11.08,11.08,96,100,3.42,RU,1710171035
251,Kupang,-10.1667,123.5833,79.38,79.38,100,20,2.3,ID,1710171035
252,Hadibu,12.65,54.0333,80.74,80.74,72,0,9.93,YE,1710171036
253,Iskateley,67.6803,53.1512,-4.99,-4.99,98,16,5.99,RU,1710171037
254,Yanjiang,30.1211,104.6481,58.41,58.41,61,100,6.08,CN,1710171037
255,Marshfield,44.6689,-90.1718,43.47,43.68,54,8,9.6,US,1710171037
256,Villa Ojo de Agua,-29.5,-63.6938,88.52,88.52,57,71,16.24,AR,1710171038
257,Walvis Bay,-22.9575,14.5053,77.95,77.95,57,0,13.8,NA,1710171038
258,Winnemucca,40.973,-117.7357,37.45,37.45,87,40,5.75,US,1710171038
259,Isperih,43.7167,26.8333,57.13,57.13,63,100,19.42,BG,1710171039
260,Paita,-5.0892,-81.1144,79.88,79.88,65,98,10.49,PE,1710171039
261,Muhafazat Ta`izz,13.5,44.0,75.79,75.79,51,98,6.11,YE,1710171040
262,Labytnangi,66.6572,66.4183,-20.78,-20.78,96,74,3.36,RU,1710171040
263,Härnösand,62.6323,17.9379,30.2,30.22,93,88,4.45,SE,1710171041
264,Port Alfred,-33.5906,26.891,77.18,77.18,94,44,3.0,ZA,1710171041
265,Mount Isa,-20.7333,139.5,78.57,78.57,65,23,3.44,AU,1710171041
266,Ploudalmézeau,48.5333,-4.65,52.56,53.85,71,100,12.66,FR,1710171042
267,Novodvinsk,64.4165,40.8122,31.78,31.78,92,89,10.09,RU,1710171042
268,Vadsø,70.0744,29.7487,35.76,36.48,87,75,16.11,NO,1710171042
269,Toamasina,-18.1667,49.3833,82.4,82.4,78,20,5.75,MG,1710171043
270,Tobelo,1.7284,128.0095,78.48,78.48,86,83,8.88,ID,1710171043
271,Quang Ngai,15.1167,108.8,70.63,70.63,92,86,6.35,VN,1710171043
272,Taltal,-25.4,-70.4833,73.24,73.24,67,0,8.7,CL,1710171031
273,Tazovsky,67.4667,78.7,-15.2,-15.2,100,96,6.06,RU,1710171044
274,Tual,-5.6667,132.75,80.98,80.98,82,100,16.6,ID,1710171044
275,Lycksele,64.5954,18.6735,26.47,26.47,68,90,5.75,SE,1710171044
276,Mossel Bay,-34.1831,22.146,75.13,75.13,90,8,14.67,ZA,1710171044
277,Mooloolabah,-26.6833,153.1167,76.75,77.05,92,23,7.0,AU,1710171045
278,New Norfolk,-42.7826,147.0587,72.03,72.9,72,86,7.4,AU,1710171045
279,McCook,40.2019,-100.6257,37.45,46.85,65,0,8.84,US,1710171045
280,College,64.8569,-147.8028,-0.45,-0.45,55,100,8.05,US,1710171045
281,Arenas de San Pedro,40.2104,-5.0869,56.07,56.07,58,38,4.03,ES,1710171045
282,Anadyr,64.75,177.4833,-18.0,-17.9,75,0,8.95,RU,1710171046
283,La Passe,45.5549,-0.8967,56.01,56.01,76,18,12.17,FR,1710171046
284,Vilyuchinsk,52.9306,158.4028,26.91,26.92,92,100,7.7,RU,1710171046
285,Santiago de Cuba,20.0247,-75.8219,87.91,87.91,55,40,2.3,CU,1710171046
286,Muang Xay,20.7,101.9833,71.49,71.49,47,54,2.01,LA,1710171046
287,Colares,38.7992,-9.4469,61.79,62.98,71,40,11.99,PT,1710171047
288,Happy Valley-Goose Bay,53.3168,-60.3315,30.51,30.51,69,75,20.71,CA,1710171107
289,Fale old settlement,-9.3852,-171.2468,84.76,84.76,76,41,11.34,TK,1710171107
290,Kumul,42.8,93.45,49.26,49.26,26,100,1.7,CN,1710171107
291,Ryōtsu-minato,38.0833,138.4333,45.05,45.05,61,100,5.3,JP,1710171108
292,Ulladulla,-35.35,150.4667,66.16,66.16,75,36,8.99,AU,1710170901
293,Ungsang-nodongjagu,42.3578,130.4622,34.66,34.66,62,96,5.73,KP,1710171108
294,Fada,9.5667,8.3,97.48,97.48,22,99,4.41,NG,1710171108
295,Broome,42.2506,-75.833,35.2,39.47,64,20,16.11,US,1710171108
296,Celendín,-6.8703,-78.1517,63.12,63.12,63,92,3.51,PE,1710171108
297,Moose Jaw,50.4001,-105.5344,39.45,39.47,70,20,19.57,CA,1710171109
298,Visakhapatnam,17.69,83.2093,82.29,82.29,74,20,5.75,IN,1710171029
299,Bābolsar,36.7025,52.6576,52.12,52.12,88,100,5.48,IR,1710171109
300,Undurkhaan,47.3194,110.6556,11.34,11.34,89,93,9.26,MN,1710171109
301,California,38.3004,-76.5074,47.14,47.88,37,0,25.32,US,1710170730
302,Constanța,44.1833,28.65,47.08,47.08,85,100,21.03,RO,1710171110
303,Shache,38.4167,77.2406,51.85,51.85,18,100,5.55,CN,1710171110
304,Yokadouma,3.5167,15.05,95.27,95.27,30,41,3.83,CM,1710171110
305,Gualan,15.1333,-89.3667,84.58,84.58,74,93,3.76,GT,1710171110
306,Hammerfest,70.6634,23.6821,36.05,36.05,93,75,17.27,NO,1710171111
307,Gadzhiyevo,69.2551,33.3362,28.4,28.4,93,100,10.16,RU,1710171111
308,Camariñas,43.1311,-9.1817,57.92,57.92,75,71,9.71,ES,1710171111
309,Boguchany,58.3814,97.4531,12.85,12.85,98,81,4.0,RU,1710171111
310,Dogondoutchi,13.6393,4.0287,107.08,107.08,7,100,12.91,NE,1710171111
311,Pokaran,26.9167,71.9167,76.28,76.28,29,2,5.03,IN,1710171111
312,Åkrehamn,59.2667,5.1833,43.14,48.22,65,0,10.36,NO,1710171112
313,Smithers,54.7804,-127.1743,28.72,28.72,86,40,4.61,CA,1710171112
314,Sept-Îles,50.2001,-66.3821,31.62,32.05,96,100,13.8,CA,1710171077
315,Saynshand,44.8824,110.1163,15.06,15.06,78,7,5.3,MN,1710171112
316,Launceston,-41.45,147.1667,69.46,70.16,73,100,12.66,AU,1710171075
317,Cova Figueira,14.8905,-24.2934,69.67,69.67,69,49,15.5,CV,1710171112
318,Alaghsas,17.0187,8.0168,105.69,105.69,6,0,12.66,NE,1710171113
319,Kizil-Arvat,38.9764,56.2757,52.41,52.41,66,82,6.96,TM,1710171113
320,Dawson Creek,55.7666,-120.2362,29.84,29.84,80,0,2.3,CA,1710171113
